census_NAME,census_B01001_001E,census_B19013_001E,zcta,census_S2701_C03_001E,census_S2701_C05_001E,cdc_totalpopulation,cdc_access2_crudeprev,cdc_checkup_crudeprev,cdc_dental_crudeprev,cdc_arthritis_crudeprev,cdc_bphigh_crudeprev,cdc_cancer_crudeprev,cdc_casthma_crudeprev,cdc_chd_crudeprev,cdc_copd_crudeprev,cdc_depression_crudeprev,cdc_diabetes_crudeprev,cdc_highchol_crudeprev,cdc_kidney_crudeprev,cdc_obesity_crudeprev,cdc_stroke_crudeprev,cdc_ghlth_crudeprev,cdc_mhlth_crudeprev,cdc_phlth_crudeprev,npi_total_providers,npi_individual_providers,npi_organization_providers
ZCTA5 85361,8107,76056,85361,86.5,13.5,6700,11.6,68.2,61.6,24.2,29.6,6.6,10.4,5.7,6.8,20.8,10.0,35.1,3.1,32.5,2.9,15.8,17.4,11.9,24.0,21.0,3.0
ZCTA5 85363,6985,68472,85363,91.2,8.8,6156,17.9,69.6,52.7,27.7,34.6,8.1,10.8,8.4,9.2,20.5,13.0,37.0,4.3,33.2,4.4,22.1,18.5,14.8,79.0,40.0,39.0
ZCTA5 85373,20885,68445,85373,96.6,3.4,17356,7.4,79.2,68.2,38.2,44.0,14.5,9.1,11.5,9.3,16.4,13.6,45.2,5.5,26.4,5.3,16.6,11.9,12.8,151.0,99.0,52.0
ZCTA5 85374,40955,78690,85374,92.3,7.7,47146,11.8,74.4,64.5,31.6,37.5,10.8,9.8,8.7,8.1,18.3,12.2,41.3,4.4,29.7,4.1,16.4,14.5,12.3,224.0,133.0,91.0
ZCTA5 85375,27185,63977,85375,98.0,2.0,27703,5.5,84.9,70.4,45.3,51.8,18.3,8.4,14.3,10.5,14.0,15.8,50.5,6.7,24.5,6.4,17.7,9.3,13.7,189.0,113.0,76.0
ZCTA5 85377,3452,143315,85377,95.9,4.1,3051,3.7,77.5,77.3,31.7,36.4,11.9,8.7,7.3,5.7,15.9,10.1,42.9,3.8,25.8,3.3,10.5,10.5,9.4,82.0,55.0,27.0
ZCTA5 85378,9401,62881,85378,89.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,81.0,62.0
ZCTA5 85379,49735,102823,85379,93.2,6.8,39732,10.5,64.8,63.5,17.2,22.4,4.6,10.3,3.4,4.4,21.0,6.7,28.2,2.2,30.5,1.9,11.9,18.0,9.2,142.0,90.0,52.0
ZCTA5 85381,26895,94442,85381,93.7,6.3,24249,8.1,69.5,68.2,22.9,27.8,7.3,9.8,5.2,5.3,19.2,8.4,33.8,3.0,28.2,2.7,12.2,15.6,9.7,198.0,107.0,91.0
ZCTA5 85382,43109,93387,85382,95.7,4.3,40454,7.9,70.9,68.8,25.1,29.8,8.6,9.6,6.0,5.7,18.9,8.8,35.2,3.3,27.6,3.0,12.3,14.9,9.8,177.0,112.0,65.0
ZCTA5 85383,72101,138671,85383,96.5,3.5,37182,6.4,67.4,71.7,19.4,23.7,5.9,9.5,3.7,4.0,19.2,6.6,31.1,2.3,27.8,1.9,9.4,14.8,8.1,118.0,75.0,43.0
ZCTA5 85387,19140,95472,85387,97.2,2.8,9573,8.3,75.6,68.5,33.1,38.5,11.0,9.5,8.4,8.0,17.8,12.3,43.4,4.2,29.5,3.9,15.1,13.1,12.0,108.0,69.0,39.0
ZCTA5 85388,35003,107131,85388,94.2,5.8,23490,10.0,65.3,64.2,17.8,23.1,4.9,10.1,3.6,4.5,20.7,6.9,28.8,2.3,30.5,2.0,11.8,17.5,9.2,153.0,118.0,35.0
ZCTA5 85390,9881,65985,85390,95.3,4.7,8621,10.3,74.2,62.2,33.4,38.9,10.6,10.3,9.6,9.6,19.5,13.3,42.1,4.6,30.5,4.5,18.3,15.3,13.8,142.0,96.0,46.0
ZCTA5 85392,39203,84965,85392,90.7,9.3,35310,13.5,65.7,61.7,17.3,23.5,4.5,10.2,3.6,4.4,19.7,8.0,29.2,2.4,31.5,2.1,13.8,17.8,9.8,175.0,130.0,45.0
ZCTA5 85395,38701,107980,85395,94.1,5.9,25922,10.3,70.5,66.4,23.9,28.9,7.5,10.4,5.5,5.8,19.8,9.2,35.1,3.1,29.0,2.8,13.6,16.3,10.3,181.0,123.0,58.0
ZCTA5 85396,38489,114266,85396,94.6,5.4,12163,9.6,68.7,66.3,22.9,28.1,6.7,9.9,5.1,5.6,19.6,8.9,34.3,2.9,30.5,2.6,12.9,15.8,10.2,116.0,75.0,41.0
ZCTA5 85545,669,49688,85545,94.2,5.8,583,12.4,72.2,49.9,39.2,44.8,11.7,11.0,13.5,15.7,20.1,17.7,41.2,5.8,38.0,6.6,27.7,16.6,19.7,0.0,0.0,0.0
